stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
279,279,Elmira at Paisley southbound,Elmira Road South,43.521901,-80.289829,0,,,,,0
280,280,Elmira at Freshmeadow southbound,Elmira Road South,43.519705,-80.284338,,,,,,
281,281,Elmira at Rochelle southbound,Elmira Road South,43.517806,-80.280426,,,,,,
282,282,Fife at Deerfield eastbound,Fife Road,43.513927,-80.275284,,,,,,
283,283,Fife at Gateway eastbound,Fife Road & GATEWAY DR,43.51545,-80.273229,,,,,,
284,284,Fife at Wellington eastbound,26 Fife Road,43.517795,-80.270059,,,,,,
292,292,Gordon at McGilvray northbound,Gordon Street,43.530955,-80.230823,,,,,,
294,294,Gordon at Dormie northbound,Gordon Street,43.536943,-80.239233,,,,,,
295,295,Gordon at Water northbound,Gordon Street,43.538065,-80.240806,,,,,,
302,302,Woolwich at Cardigan northbound,Woolwich Street,43.548138,-80.251221,0,,,,,0
305,305,Suffolk at Glasgow westbound,Suffolk Street West,43.545538,-80.258478,0,,,,,
306,306,Yorkshire at London northbound,Yorkshire Street North,43.546384,-80.261747,,,,,,
307,307,Westmount at Summit northbound,Westmount Road,43.548128,-80.266951,,,,,,
308,308,Westmount at Division northbound,Westmount Road,43.550094,-80.269665,,,,,,
310,310,Westmount at Speedvale northbound,Westmount Road,43.553407,-80.27425,,,,,,
315,315,21 Woodlawn eastbound,21 Woodlawn Road East,43.566309,-80.275597,0,,,,,
316,316,Woodlawn at Speed River eastbound,Woodlawn Road East,43.569351,-80.271398,,,,,,
317,317,Woodlawn at Fairway eastbound,Woodlawn Road East,43.571985,-80.267709,,,,,,
318,318,Woodlawn at Golfview eastbound,Woodlawn Road East,43.574392,-80.264349,,,,,,
319,319,Inverness at Glenbrook northbound,Inverness Drive,43.577029,-80.263722,,,,,,
320,320,Inverness at Wilton northbound,Inverness Drive,43.579193,-80.266734,,,,,,
321,321,Victoria at Norma southbound,Victoria Road North,43.580844,-80.264329,,,,,,
322,322,Victoria at Woodlawn southbound,Victoria Road North,43.577902,-80.260293,,,,,,
323,323,Victoria at Delta southbound,Victoria Road North,43.574159,-80.255077,0,,,,,0
324,324,Victoria at Speedvale southbound,Victoria Road North,43.57071,-80.250333,,,,,,
325,325,Victoria at Eramosa southbound,Victoria Road North,43.569197,-80.24827,,,,,,
326,326,Victoria at Greenview southbound,Victoria Road North,43.566699,-80.244721,,,,,,
327,327,Eastview at Glenburnie eastbound,Eastview Road,43.565338,-80.241303,,,,,,
328,328,Eastview at Mountford eastbound,Eastview Road,43.56739,-80.238495,,,,,,
330,330,Eastview at Summit Ridge eastbound,Eastview Road,43.572643,-80.231323,,,,,,
332,332,Watson at Fleming southbound,Watson Parkway North,43.570547,-80.213893,,,,,,
333,333,Watson at Starwood southbound,Watson Parkway North,43.566581,-80.211749,,,,,,
335,335,York at Yorkhaven westbound,York Road,43.558471,-80.21502,,,,,,
337,337,York at Beaumont westbound,York Road,43.554924,-80.219884,,,,,,
338,338,Victoria at York southbound,Victoria Road South,43.551612,-80.223545,,,,,,
339,339,Stone at Victoria westbound,Stone Road East,43.53918,-80.208169,,,,,,
340,340,Stone at Oakdale westbound,Stone Road East,43.533148,-80.216165,,,,,,
352,352,Gordon at Wellington southbound,Gordon Street,43.540845,-80.245334,,,,,,0
356,356,Gordon at College southbound,Gordon Street,43.531515,-80.231847,0,,,,,
358,358,Stone at Oakdale eastbound,Stone Road East,43.533112,-80.215957,,,,,,
359,359,Stone at Victoria eastbound,Stone Road East,43.538299,-80.208982,,,,,,
360,360,York at Victoria eastbound,YORK ROAD,43.552198,-80.223336,0,,,,,
361,361,York at Beaumont eastbound,York Road,43.554548,-80.220176,,,,,,
363,363,785 York eastbound,785 York Road,43.558741,-80.21437,,,,,,
365,365,Watson at Starwood northbound,Watson Parkway North,43.566566,-80.21151,0,,,,,
366,366,Watson at Fleming northbound,Watson Parkway North,43.570315,-80.213286,,,,,,
367,367,Watson at Grange northbound,Watson Parkway North,43.574104,-80.218562,,,,,,
368,368,Watson at Eastview northbound,Watson Parkway North,43.57761,-80.223441,0,,,,,
369,369,Eastview at Summit Ridge westbound,Eastview Road,43.572703,-80.231437,,,,,,
